,index,REGIST_DT,PRDUCT,PRSRV_PD,MAIN_FNCTN,SUNGSANG,INTAKE_HINT1,SRV_USE,STTEMNT_NO,DISTB_PD,BASE_STANDARD,ENTRPS,STDR_STND
148,149,20180920,17종혼합유산균-알에스 200비(17종혼합유산균-RS 200B),냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말","원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용한다.,20040017059134,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 미황색의 분말
2. 프로바이오틱스 수 : 표시량(2.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3mg/kg 이하",(주)씨티씨바이오,
149,150,20190408,19g 단백질 다이어트 쉑쉑프로틴 검은콩맛,1. 직사광선 및 고온 다습한 곳을 피해 보관하십시오.2. 어린이의 손이 닿지 않도록 주의하시기 바랍니다.3. 제품 개봉 후에는 흡습이 일어날 수 있으니 반드시 밀봉하여 보관하십시오.,"[단백질]①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요

[가르시니아캄보지아 추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,","이미, 이취가 없고 고유의 향미가 있는 밝은 회황색 분말","특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의

어린이, 임산부 및 수유부는 섭취를 피할 것
간ㆍ신장ㆍ심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","1일 1회, 1회 1포를 물에 타서 섭취하십시오.",200700170351258,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 밝은 회황색 분말
2. 총(-)-Hydroxycitric acid : 표시량(750mg/30,000mg)의 80~120%
3. 조단백질: 표시량(19,000mg/30,000mg)의 80~120%
3. 납(mg/kg) : 1.0 이하
4. 카드뮴(mg/kg) : 0.5 이하
7. 총수은(mg/kg) : 0.4 이하
8. 총비소(mg/kg) : 1.0 이하
9. 대장균군 : 음성",코스맥스엔비티(주),
150,151,20190408,19g 단백질 다이어트 쉑쉑프로틴 고구마맛,1. 직사광선 및 고온 다습한 곳을 피해 보관하십시오.2. 어린이의 손이 닿지 않도록 주의하시기 바랍니다.3. 제품 개봉 후에는 흡습이 일어날 수 있으니 반드시 밀봉하여 보관하십시오.,"[단백질]①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요

[가르시니아캄보지아추출물] ①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌","이미, 이취가 없고 고유의 향미가 있는 흰노란색 분말","특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의

어린이, 임산부 및 수유부는 섭취를 피할 것
간ㆍ신장ㆍ심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
1. 임신, 수유부, 영유아 등은 섭취 전 전문의와 상담하여 주십시오.
2. 특이체질, 알레르기 체질이신 경우 성분을 확인한 후 섭취하여 주십시오.
3. 섭취량 및 섭취방법을 확인 후 섭취하십시오.
4. 섭취 전 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
5. 이상증상이 생긴 경우 섭취를 중단하고, 의사와 상담하십시오.
6. 제품 개봉하신 후에는 원료의 특성상 흡습으로 인하여 변질될 수 있으니 섭취 직전에 개봉하여 드십시오.
7. 제품 개봉 또는 섭취 시 절단면에 상처를 입을 수 있으니 주의하십시오.","1일 1회, 1회 1포를 물에 타서 섭취하십시오.",200700170351259,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 흰노란색 분말
2. 대장균군 : 음성
3. 총(-)-Hydroxycitric acid : 표시량(750mg/30,000mg)의 80~120%
4. 조단백질 : 표시량(19,000mg/30,000mg)의 80~120%
5. 납(mg/kg) : 1.0 이하
6. 카드뮴(mg/kg) : 0.5 이하
7. 총 수은(mg/kg) : 0.4 이하
8. 총 비소(mg/kg) : 1.0 이하",코스맥스엔비티(주),
151,152,20190408,19g 단백질 다이어트 쉑쉑프로틴 카카오맛,1. 직사광선 및 고온 다습한 곳을 피해 보관하십시오.2. 어린이의 손이 닿지 않도록 주의하시기 바랍니다.3. 제품 개봉 후에는 흡습이 일어날 수 있으니 반드시 밀봉하여 보관하십시오.,"[단백질]①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요

[가르시니아캄보지아 추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌","이미, 이취가 없고 없고 고유의 향미가 있는 회갈색의 분말","특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의

어린이, 임산부 및 수유부는 섭취를 피할 것
간ㆍ신장ㆍ심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","1일 1회, 1회 1포를 물에 타서 섭취하십시오.",200700170351260,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 회갈색의 분말
2. 총(-)-Hydroxycitric acid : 표시량(750mg/30,000mg)의 80~120%
3. 조단백질: 표시량(19,000mg/30,000mg)의 80~120%
3. 납(mg/kg) : 1.0 이하
4. 카드뮴(mg/kg) : 0.5 이하
7. 총수은(mg/kg) : 0.4 이하
8. 총비소(mg/kg) : 1.0 이하
9. 대장균군 : 음성",코스맥스엔비티(주),
152,153,20161108,19종 프로바이오틱스-1000,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005202,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 100,000,000,000 CFU/g 이상",주식회사 락토메이슨,
153,154,20170724,19종 프로바이오틱스-2000,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005223,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 200,000,000,000 CFU/g 이상",주식회사 락토메이슨,
154,155,20190319,19종더프로바이오유산균,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용.,20040020029313,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.60 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
155,156,20190318,19종아임비오레이디유산균,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용.,20040020029312,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.80 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
156,157,20150522,19종혼합유산균-10,직사광선 및 고온다습한 곳을 피하여 실온에서 보관하고 유통중에 흡습되지 않도록 파손에 주의,"1 유산균 증식 및 유해균 억제 
2 배변활동원활에 도움을 줄 수 있음.",유백색 또는 백색의 분말,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품 원료로 사용,20040020029158,18개월,"1 성상 : 이미,이취가 없는 유백색 또는 백색분말
2 대장균군 : 음성
3 프로바이오틱스 수 : 1.0 X 10^9cfu/g 이상",(주)메디오젠,
157,158,20150522,19종혼합유산균-1000,직사광선 및 고온다습한 곳을 피하여 실온에서 보관하고 유통중에 흡습되지 않도록 파손에 주의,"1 유산균 증식 및 유해균 억제 
2 배변활동원활에 도움을 줄 수 있음",황색 또는 밝은 회황색의 분말,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품 원료로 사용,20040020029156,18개월,"1 성상 : 이미,이취가 없는 황색 또는 밝은 회황색 분말
2 대장균군 : 음성
3 프로바이오틱스 수 : 1.0 X 10^11cfu/g 이상",(주)메디오젠,
158,159,20150522,19종혼합유산균-2000,직사광선 및 고온다습한 곳을 피하여 실온에서 보관하고 유통과정에서 흡습되지 않도록 파손에 주의,"1 유산균 증식 및 유해균 억제 
2 배변활동원활에 도움을 줄 수 있음",황색 또는 황갈색의 분말,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품 원료로 사용,20040020029153,18개월,"1 성상 : 이미,이취가 없는 황색 또는 회황색 분말
2 대장균군 : 음성
3 프로바이오틱스 수 : 2.0 X 10^11cfu/g 이상.",(주)메디오젠,
159,160,20151102,19종혼합유산균-P,직사광선 및 고온다습한 곳을 피하여 실온에서 보관하고 유통과정에서 흡습되지 않도록 파손에 주의,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,황색 또는 황갈색의 분말,"① 알레르기 체질인 경우 성분을 확인 후 섭취
② 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품원료용 또는 일반식품의 원료로 적당량 사용한다.,20040020029177,18개월,"①성상 : 이미,이취가 없는 황색~황갈색의 분말
②대장균군 : 음성
③프로바이오틱스 수 : 1.0 X 10^11cfu/g 이상.",(주)메디오젠,
160,161,20151207,19종혼합유산균-RS 200B,10℃이하 냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유한 향미가 있는 미황색 분말",,,2004001705986,24개월,"1. 성상: 이미, 이취가 없고 고유한 향미가 있는 미황색 분말
2. 프로바이오틱스 수: 2.0x10^11cfu/g 이상
3. 대장균군: 음성",(주)씨티씨바이오,
161,162,20161115,19종혼합유산균-알에스디(RSD),10℃이하 냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없는 미황색 분말","원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장 또는 냉동보관한다.",건강기능식품 원료로 사용,2004001705995,제조일로부터 24개월,"1. 성상: 이미, 이취가 없고 고유의 향미가 있는 미황색 분말
2. 프로바이오틱스수: 2.0x10^11cfu/g 이상
3. 대장균군: 음성",(주)씨티씨바이오,
162,163,20171010,19종혼합유산균DS,"실온, (건냉한 곳 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미,이취가 없고 고유의 향미가 있는 밝은 회황색","① 특이체질, 알레르기 체질인 경우 전문가와 상담 후 섭취여부를 결정하세요. 
② 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담 후 섭취하세요. 
③ 이상증상이 생길 경우, 취를 중단하고, 전문가와 상담하시거나 고객상담실로 문의하시기 바랍니다.",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용,20040020029217,제조일로부터18개월,"① 성상 : 이미,이취가 없고 고유의 향미가 있는 흰노란색의 분말
② 대장균군 : 음성
③유산균수 : 2.0 X 10^11CFU/g 이상",(주)메디오젠,
163,164,20150522,1일 1유산균,"직사광선 및 고온다습한 곳을 피해 보관, 유통하십시오.",[프로바이오틱스 제품]①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 미백색의 분말","- 특이체질, 알레르기 체질이신 경우 성분을 확인하신 후 섭취하여 주시기 바랍니다.
- 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.
- 질환이 있거나 의약품 복용 시 전문가와 상담하시기 바랍니다.- 알레르기 체질 등은 개인에 따라 과민방응을 나타낼 수 있습니다.- 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도해주시기 바랍니다.- 이상사례 발생 시 섭취를 중단하고 전문가와 상담해주시기 바랍니다.","1일 1회, 1회 1포를 물과 함께 섭취하십시오.",2012001900739,제조일로부터 24개월,"1) 성상 : 이미, 이취가 없고 고유의 향미가 있는 미백색의 분말2) 프로바이오틱스 수 : 표시량(100,000,000CFU/2,000 mg) 이상
3)대장균군 : 음성",(주)한풍네이처팜,
164,165,20170928,2 포 다이어트,직사광선 및 고온다습한 곳을 피해 서늘한 곳에 보관하십시오.,①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 갈색의 내용물을 함유한 녹색의 경질캡슐","카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음","1일 1회, 1회 2캡슐을 물과 함께 섭취하십시오.",20040015107749,제조일로부터 24개월까지,"① 성상: 이미, 이취가 없고 고유의 향미가 있는 갈색의 내용물을 함유한 녹색의 경질캡슐
② 카테킨: 표시량 (300 mg/760 mg)의 80~120%
③ 카페인(mg/kg): 50,000 이하
④ 대장균군: 적합
⑤ 붕해시험: 적합",(주)유유헬스케어,
165,166,20170705,2000days Korean Red Ginseng Extract Gold(전량수출용),습기와 직사광선을 피하여 서늘한 곳에 마개를 막아 보관하십시오.,①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화·갱년기 여성의 건강에 도움을 줄 수 있음,"이미, 이취가 없는 흑갈색의 점조성 액체","의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",1일 3회 1회 1g을 직접 또는 물과 함께 섭취한다.,2004001703872,제조일로부터 36개월까지,"성상: 이미, 이취가 없는 흑갈색의 점조성 액체
진세노사이드 Rg1, Rb1 및 Rg3의 합: 표시량(11.88mg/g)의 80% 이상
세균수(1ml당): 3,000 이하
대장균군: 음성",고려인삼연구(주),
166,167,20171219,2018프로바이오틱스캡슐,제조일로부터 18개월,"프로바이오틱스 : 유산균 증식 및 유해균 억제 ？ 배변활동 원활에 도움을 줄 수 있음
아연 : (가) 정상적인 면역기능에 필요
       (나) 정상적인 세포분열에 필요
셀렌 : 유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요","이미, 이취가 없고 고유의 향미가 있는 미황색 내용물을 함유한 투명 경질캡슐.","①섭취 및 섭취방법을 준수하십시오.
②동봉된 실리카겔은 방습제이므로 섭취하지 마십시오.
③알레르기 체질이신 분은 성분을 확인하신 후 섭취하십시오.
④어린이의 경우 어른의 지도하에 섭취하십시오.","1일 1회, 1회 1캡슐을 물과 함께 섭취한다.",201727820688,제조일로부터18개월,"①성상 :이미, 이취가 없고 고유의 향미가 있는 미황색 내용물을 함유한 투명 경질캡슐.  
 ②아연 : 표시량(2.55 mg/500 mg)의 80~150%
 ③셀렌: 표시량(16.5 μg/500 mg)의 80~150%
 ④프로바이오틱스 수 : 표시량(5억 CFU/500 mg)이상
 ⑤붕해시험 : 물 20분 이내 
 ⑥대장균군 : 음성",(주)메디바이오랩,
167,168,20190607,2019프리바이오틱스 프락토올리고당,실온,"① 유익균 증식 및 유해균 억제·칼슘 흡수·배변활동 원활에 도움을 줄 수 있음
① 정상적인 면역기능에 필요② 정상적인 세포분열에 필요
① 유해산소로부터 세포를 보호하는데 필요","백색의 분말로 이미, 이취가 없다.","1) 특정질환, 특이체질, 알레르기체질인 경우 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 확인 후 섭취하십시오.
 2) 어린이가 섭취할 때는 보호자의 관리감독 하에 주의하여 섭취시켜 주십시오.
 3) 유통기한을 확인하시기 바라며, 권장섭취량 및 섭취방법을 준수하시기 바랍니다.
 4) 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다. 
 5) 흡습성이 매우 높은 제품이므로, 제품 개봉 후 내용물이 굳을 염려가 있으니 바로 섭취하십시오.","1일 1회, 1회 1포(5g)씩 입안에서 녹여 섭취하십시오.",20120017002119,24 개월,"1. 성상: 백색의 분말로 이미, 이취가 없다.
2. 프락토올리고당 : 표시량(3,500 mg / 5,000 mg)의 80~120%
3. 아연 : 표시량(8.5 mg / 5,000 mg)의 80~150%
4. 셀레늄(또는 셀렌) 함량 : 표시량 (55 ㎍ / 5,000 mg)의 80~150%
5. 대장균군: 음성
6. 납:1.0 이하 (mg/kg)",이앤에스(주),
168,169,20150522,2090 파워루테인,"1. 직사광선을 피해 서늘한 곳에 보관하시고, 어린이의 손이 닿지 않는 곳에 보관하십시오.
2. 제품 개봉 후에는 흡습이 일어날 수 있으니 반드시 밀봉하여 보관하십시오.","[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요","이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 흑갈색의 연질캡슐","[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.
1. 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.
3. 섭취량 및 섭취방법을 확인한 후 섭취하십시오.
4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
5. 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",20070017035536,제조일로부터24개월,"1) 성상: 이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 흑갈색의 연질캡슐
2) 대장균군: 음성
3) 붕해도: 20분 이내
4) 납(mg/kg): 1.0이하
5) 카드뮴(mg/kg): 1.0이하
6) 총수은(mg/kg): 1.0이하
7) 총비소(mg/kg): 1.0이하
8) 헥산(mg/kg): 5.0이하
9) 초산에틸(mg/kg): 50.0이하
10) 루테인: 표시량(20mg/500mg)의 80~120%
11) 아연: 표시량(4.3mg/500mg)의 80~150%
12) 비타민E: 표시량(4mg α-TE/500mg)의 80~150%
13) 비타민B2: 표시량(0.48mg/500mg)의 80~180%
14) 비타민A: 표시량(600㎍RE/500mg)의 80~150%
15) 셀렌: 표시량(18㎍/500mg)의 80~150%",코스맥스엔비티(주),
169,170,20150522,2090파워루테인,"① 습기가 적고 직사광선을 받지 않는 서늘한 곳에 보관하십시오.
② 어린이의 손에 닿지 않는 곳에 보관하십시오.","[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[비타민B2]①체내 에너지 생성에 필요",주황색의 내용물을 함유한 갈색의 연질 캡슐,"[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.
① 특이체질, 알러지체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시   오.
② 온도 및 습도 등의 변화에 의해 캡슐이 붙는 현상이 발생될 수 있으나 품질에 이상이 없으니 안심하고 섭취하십시오.","1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",20040020008865,제조일로부터 2년,"① 성상 : 주황색의 내용물을 함유한 갈색의 연질 캡슐 
② 루테인 : 10mg/500mg 의 80~120%
③ 아연 : 4.2mg/500mg 의 80~150%
④ 비타민A : 550㎍/500mg 의 80~150%
⑤ 비타민 E : 3.32mg α-TE/500mg 의 80~150%
⑥ 비타민 B2 : 0.44mg/500mg 의 80~180%
⑦ 셀레늄 : 16ug/500mg 의 80~150%
⑧ 납(mg/kg)  : 1.0 이하
⑨ 총비소(mg/kg) : 1.0 이하
⑩ 카드뮴(mg/kg) : 1.0 이하
⑪ 총수은(mg/kg) : 1.0 이하
⑫ 헥산(mg/kg) : 5.0 이하
⑬ 대장균군 : 음성
⑭ 붕해 : 적합이어야한다.",주식회사 노바렉스,
170,171,20150522,24 나이트 다이어트,직사광선을 받지 아니하는 서늘한 곳에서 보관 및 유통.,탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,연회색의 장방형 제피정제,"① 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
② 어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도 하에 섭취하십시오. 
③ 특이체질, 알러지 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.","1일 2회, 1회 2정을 물과 함께 섭취하십시오.",20040020007652,제조일로부터 24개월,"① 성상: 연회색의 장방형 제피정제
② 총HCA함량(mg/g) : 표시량 (380mg/1000mg)의 80~120%
③ 납 : 1.0mg/kg 이하
④ 총비소 : 1.0mg/kg 이하 
⑤ 카드뮴 : 0.5mg/kg 이하 
⑥ 총수은 : 0.4mg/kg 이하 
⑦ 붕해시험 : 적합하여야 한다.
⑧ 대장균군: 음성",(주)한국씨엔에스팜,
171,172,20160425,24 다이어트 나이트,"직사광선을 받지 아니하는 서늘한 곳에서 보관 및 유통, 어린이의 손에 닿지 않도록 주의","체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",흐린 황갈색의 장방형 제피정제,"임산부, 수유여성, 어린이는 섭취에 주의","1일 1회, 1회 2정(1정 당 500 mg)을  저녁식사 후 물과 함께 섭취",200400200071636,제조일로부터 24개월까지,"1) 성상 : 흐린 황갈색의 장방형 제피정제  
2) 포스콜린 : 표시량의 80 ~ 120 % (표시량 : 50 mg / 1,000 mg)
3) 비타민B6 : 표시량의 80 ~ 150 % (표시량 : 3.69 mg / 1,000 mg)
4) 판토텐산 : 표시량의 80 ~ 180 % (표시량 : 4.14 mg / 1,000 mg)
5) 납(mg/kg) : 1.0 이하
6) 총비소(mg/kg) : 1.0 이하
7) 카드뮴(mg/kg) : 0.5 이하
8) 총수은(mg/kg) : 0.5 이하
9) 대장균군 : 음성
10) 붕해 : 적합(60분 이내)",(주)한국씨엔에스팜,
172,173,20160512,24 다이어트 데이,"직사광선을 받지 아니하는 서늘한 곳에서 보관 및 유통, 어린이의 손에 닿지 않도록 주의","①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",미황색의 장방형 제피정제,"① 어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.
② 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.","1일 1회, 1회 1포(3정/ 1정 당 500 mg)를 점심식사 전  물과 함께 섭취",200400200071647,제조일로부터 24개월까지,"1) 성상 : 미황색의 장방형 제피정제
2) 총(-)-Hydroxycitric acid : 표시량의 80 ~ 120 % (표시량 : 750 mg / 1,500 mg)
3) 비타민B1 : 표시량의 80 ~ 180 % (표시량 : 5.6 mg / 1,500 mg)
4) 비타민B2 : 표시량의 80 ~ 180 % (표시량 : 7.2 mg / 1,500 mg)
5) 비타민B6 : 표시량의 80 ~ 150 % (표시량 : 5.9 mg / 1,500 mg)
6) 판토텐산 : 표시량의 80 ~ 180 % (표시량 : 7.94 mg / 1,500 mg)
7) 납(mg/kg) : 1.0 이하
8) 카드뮴(mg/kg) : 0.5 이하
9) 총수은(mg/kg) : 0.4 이하
10) 총비소(mg/kg) : 1.0 이하
11) 대장균군 : 음성
12) 붕해 : 적합(60분 이내)",(주)한국씨엔에스팜,
